shipment_id,risk_tier,delay_probability,primary_action,primary_description,fallback_action,cost_impact,estimated_time_saving,sla_impact,confidence,reasoning
SHP100102,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100103,CRITICAL,1.0,Reroute Shipment,Divert the shipment to an alternative transit path that avoids the disrupted corridor.,Assign Alternative Carrier,Medium,12–48 hours,High,High,"['Active disruption (Natural Disaster) blocking current route.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100104,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100105,CRITICAL,1.0,Priority / Express Handling,"Flag for expedited processing at next handling point (customs, warehouse, port).",Send Pre-Alert to Customer,Low-Medium,4–12 hours,Medium,High,"['General elevated risk; priority handling advised as first response.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100106,CRITICAL,1.0,Reroute Shipment,Divert the shipment to an alternative transit path that avoids the disrupted corridor.,Assign Alternative Carrier,Medium,12–48 hours,High,High,"['Active disruption (Port Strike) blocking current route.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100107,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100108,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100109,CRITICAL,1.0,Reroute Shipment,Divert the shipment to an alternative transit path that avoids the disrupted corridor.,Assign Alternative Carrier,Medium,12–48 hours,High,High,"['Active disruption (Natural Disaster) blocking current route.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100110,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100111,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100112,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100113,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100114,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100115,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100116,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100117,CRITICAL,1.0,Priority / Express Handling,"Flag for expedited processing at next handling point (customs, warehouse, port).",Send Pre-Alert to Customer,Low-Medium,4–12 hours,Medium,High,"['General elevated risk; priority handling advised as first response.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100118,HIGH,0.8446,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100119,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100120,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100121,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100122,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100123,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100124,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100125,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100126,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100127,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100128,CRITICAL,1.0,Assign Alternative Carrier,Transfer the shipment to a more reliable carrier with available capacity on the same route.,Send Pre-Alert to Customer,Medium-High,6–24 hours,Medium,High,"['Carrier reliability (83%) below threshold; swap to higher-rated carrier.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100129,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100130,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100131,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100132,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100133,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100134,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100135,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100136,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100137,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100138,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100139,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100140,CRITICAL,1.0,Reroute Shipment,Divert the shipment to an alternative transit path that avoids the disrupted corridor.,Assign Alternative Carrier,Medium,12–48 hours,High,High,"['Active disruption (Port Strike) blocking current route.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100141,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100142,CRITICAL,0.9992,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100143,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100144,CRITICAL,0.996,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100145,CRITICAL,0.9994,Priority / Express Handling,"Flag for expedited processing at next handling point (customs, warehouse, port).",Send Pre-Alert to Customer,Low-Medium,4–12 hours,Medium,High,"['General elevated risk; priority handling advised as first response.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100146,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100147,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100148,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100149,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100150,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100151,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100152,CRITICAL,0.9999,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100153,CRITICAL,1.0,Assign Alternative Carrier,Transfer the shipment to a more reliable carrier with available capacity on the same route.,Send Pre-Alert to Customer,Medium-High,6–24 hours,Medium,High,"['Carrier reliability (85%) below threshold; swap to higher-rated carrier.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100154,CRITICAL,1.0,Expedite Customs Clearance,Engage customs broker for accelerated clearance to prevent dwell time accumulation.,Priority / Express Handling,Low,8–24 hours,Medium-High,High,"['Customs clearance flag active; broker escalation cuts dwell time.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100155,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100156,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100157,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100158,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100159,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100160,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100161,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100162,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100163,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100164,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100165,CRITICAL,1.0,Reroute Shipment,Divert the shipment to an alternative transit path that avoids the disrupted corridor.,Assign Alternative Carrier,Medium,12–48 hours,High,High,"['Active disruption (Natural Disaster) blocking current route.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100166,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100167,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100168,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100169,CRITICAL,1.0,Reroute Shipment,Divert the shipment to an alternative transit path that avoids the disrupted corridor.,Assign Alternative Carrier,Medium,12–48 hours,High,High,"['Active disruption (Natural Disaster) blocking current route.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100170,CRITICAL,1.0,Priority / Express Handling,"Flag for expedited processing at next handling point (customs, warehouse, port).",Send Pre-Alert to Customer,Low-Medium,4–12 hours,Medium,High,"['General elevated risk; priority handling advised as first response.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100171,CRITICAL,1.0,Assign Alternative Carrier,Transfer the shipment to a more reliable carrier with available capacity on the same route.,Send Pre-Alert to Customer,Medium-High,6–24 hours,Medium,High,"['Carrier reliability (84%) below threshold; swap to higher-rated carrier.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100172,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100173,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100174,CRITICAL,1.0,Priority / Express Handling,"Flag for expedited processing at next handling point (customs, warehouse, port).",Send Pre-Alert to Customer,Low-Medium,4–12 hours,Medium,High,"['Port congestion score 8/10; priority slot reduces wait time.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100175,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100176,CRITICAL,1.0,Priority / Express Handling,"Flag for expedited processing at next handling point (customs, warehouse, port).",Send Pre-Alert to Customer,Low-Medium,4–12 hours,Medium,High,"['Port congestion score 8/10; priority slot reduces wait time.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100177,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100178,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100179,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100180,CRITICAL,0.9999,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100181,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100182,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100183,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100184,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100185,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100186,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100187,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100188,CRITICAL,1.0,Assign Alternative Carrier,Transfer the shipment to a more reliable carrier with available capacity on the same route.,Send Pre-Alert to Customer,Medium-High,6–24 hours,Medium,High,"['Carrier reliability (83%) below threshold; swap to higher-rated carrier.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100189,CRITICAL,1.0,Assign Alternative Carrier,Transfer the shipment to a more reliable carrier with available capacity on the same route.,Send Pre-Alert to Customer,Medium-High,6–24 hours,Medium,High,"['Carrier reliability (83%) below threshold; swap to higher-rated carrier.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100190,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100191,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100192,CRITICAL,0.9991,Assign Alternative Carrier,Transfer the shipment to a more reliable carrier with available capacity on the same route.,Send Pre-Alert to Customer,Medium-High,6–24 hours,Medium,High,"['Carrier reliability (83%) below threshold; swap to higher-rated carrier.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100193,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100194,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100195,CRITICAL,1.0,Priority / Express Handling,"Flag for expedited processing at next handling point (customs, warehouse, port).",Send Pre-Alert to Customer,Low-Medium,4–12 hours,Medium,High,"['General elevated risk; priority handling advised as first response.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100196,CRITICAL,1.0,Reroute Shipment,Divert the shipment to an alternative transit path that avoids the disrupted corridor.,Assign Alternative Carrier,Medium,12–48 hours,High,High,"['Active disruption (Port Strike) blocking current route.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100197,CRITICAL,1.0,Reroute Shipment,Divert the shipment to an alternative transit path that avoids the disrupted corridor.,Assign Alternative Carrier,Medium,12–48 hours,High,High,"['Active disruption (Natural Disaster) blocking current route.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100198,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100199,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100200,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100201,CRITICAL,1.0,Upgrade to Air Freight,Switch from Sea/Road/Rail to Air freight to recover time against SLA.,Send Pre-Alert to Customer,High,24–96 hours,Very High,High,"['SLA breach imminent (0h); air freight fastest recovery.', 'Customer pre-alert recommended to manage expectations proactively.']"
SHP100202,CRITICAL,1.0,Expedite Customs Clearance,Engage customs broker for accelerated clearance to prevent dwell time accumulation.,Priority / Express Handling,Low,8–24 hours,Medium-High,High,"['Customs clearance flag active; broker escalation cuts dwell time.', 'Customer pre-alert recommended to manage expectations proactively.']"
